gle read:2.00 | controller signal:1300.40 | 
17:37:45.258 -> angle read:24.00 | controller signal:1648.00 | 
17:37:45.328 -> angle read:24.00 | controller signal:1653.30 | 
17:37:45.362 -> angle read:24.00 | controller signal:1653.30 | 
17:37:45.432 -> angle read:25.00 | controller signal:1653.30 | 
17:37:45.465 -> angle read:25.00 | controller signal:1648.70 | 
17:37:45.535 -> angle read:24.00 | controller signal:1648.70 | 
17:37:45.570 -> angle read:24.00 | controller signal:1654.30 | 
17:37:45.605 -> angle read:25.00 | controller signal:1654.30 | 
17:37:45.675 -> angle read:24.00 | controller signal:1654.30 | 
17:37:45.710 -> angle read:24.00 | controller signal:1655.00 | 
17:37:45.780 -> angle read:24.00 | controller signal:1655.00 | 
17:37:45.815 -> angle read:24.00 | controller signal:1656.00 | 
17:37:45.849 -> angle read:24.00 | controller signal:1656.00 | 
17:37:45.919 -> angle read:25.00 | controller signal:1651.70 | 
17:37:45.953 -> angle read:24.00 | controller signal:1651.70 | 
17:37:46.023 -> angle read:24.00 | controller signal:1651.70 | 
17:37:46.058 -> angle read:25.00 | controller signal:1652.00 | 
17:37:46.128 -> angle read:24.00 | controller signal:1652.00 | 
17:37:46.163 -> angle read:24.00 | controller signal:1657.30 | 
17:37:46.197 -> angle read:24.00 | controller signal:1657.30 | 
17:37:46.266 -> angle read:24.00 | controller signal:1657.30 | 
17:37:46.301 -> angle read:25.00 | controller signal:1652.70 | 
17:37:46.371 -> angle read:24.00 | controller signal:1652.70 | 
17:37:46.406 -> angle read:24.00 | controller signal:1658.30 | 
17:37:46.476 -> angle read:24.00 | controller signal:1658.30 | 
17:37:46.511 -> angle read:24.00 | controller signal:1659.00 | 
17:37:46.580 -> angle read:25.00 | controller signal:1659.00 | 
17:37:46.615 -> angle read:24.00 | controller signal:1659.00 | 
17:37:46.649 -> angle read:24.00 | controller signal:1660.00 | 
17:37:46.717 -> angle read:25.00 | controller signal:1660.00 | 
17:37:46.752 -> angle read:25.00 | controller signal:1655.70 | 
17:37:46.822 -> angle read:25.00 | controller signal:1655.70 | 
17:37:46.857 -> angle read:25.00 | controller signal:1655.70 | 
17:37:46.927 -> angle read:25.00 | controller signal:1656.00 | 
17:37:46.961 -> angle read:25.00 | controller signal:1656.00 | 
17:37:46.996 -> angle read:23.00 | controller signal:1656.00 | 
17:37:47.066 -> angle read:25.00 | controller signal:1656.00 | 
17:37:47.100 -> angle read:25.00 | controller signal:1656.00 | 
17:37:47.169 -> angle read:25.00 | controller signal:1656.00 | 
17:37:47.204 -> angle read:25.00 | controller signal:1656.00 | 
17:37:47.273 -> angle read:25.00 | controller signal:1656.00 | 
17:37:47.308 -> angle read:24.00 | controller signal:1656.00 | 
17:37:47.377 -> angle read:25.00 | controller signal:1656.00 | 
17:37:47.412 -> angle read:24.00 | controller signal:1656.00 | 
17:37:47.447 -> angle read:24.00 | controller signal:1656.00 | 
17:37:47.517 -> angle read:24.00 | controller signal:1661.30 | 
17:37:47.552 -> angle read:24.00 | controller signal:1661.30 | 
17:37:47.621 -> angle read:24.00 | controller signal:1661.30 | 
17:37:47.656 -> angle read:24.00 | controller signal:1662.00 | 
17:37:47.724 -> angle read:24.00 | controller signal:1662.00 | 
17:37:47.759 -> angle read:24.00 | controller signal:1663.00 | 
17:37:47.828 -> angle read:24.00 | controller signal:1663.00 | 
17:37:47.863 -> angle read:24.00 | controller signal:1664.00 | 
17:37:47.898 -> angle read:24.00 | controller signal:1664.00 | 
17:37:47.968 -> angle read:25.00 | controller signal:1659.70 | 
17:37:48.002 -> angle read:25.00 | controller signal:1659.70 | 
17:37:48.071 -> angle read:25.00 | controller signal:1659.70 | 
17:37:48.104 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.174 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.209 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.278 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.313 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.348 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.418 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.452 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.522 -> angle read:26.00 | controller signal:1660.00 | 
